eye,tStart,tEnd,duration
R,1463528,1463651,124
L,1463518,1463673,156
R,1466723,1466793,71
L,1466705,1466832,128
R,1469080,1469189,110
L,1469075,1469202,128
R,1471398,1471482,85
L,1471389,1471497,109
L,1472455,1473085,631
R,1472463,1473093,631
L,1476382,1477904,1523
R,1476394,1477920,1527
R,1479736,1479828,93
L,1479725,1479848,124
L,1485702,1485702,1
R,1486069,1486523,455
R,1486588,1486695,108
L,1485939,1486710,772
L,1487412,1488270,859
R,1487427,1488272,846
R,1490133,1490226,94
L,1490110,1490252,143
R,1491400,1491549,150
L,1491388,1491577,190
R,1491771,1492182,412
L,1491752,1492210,459
R,1493735,1494090,356
L,1493716,1494100,385
R,1494674,1496959,2286
L,1494653,1496977,2325
R,1500476,1501098,623
L,1500468,1501130,663
R,1505242,1508145,2904
L,1505187,1508214,3028
R,1512113,1512204,92
L,1512104,1512228,125
R,1513182,1514041,860
L,1513166,1514063,898
L,1517331,1517804,474
R,1517482,1517838,357
L,1518365,1520313,1949
R,1518353,1520335,1983
R,1521265,1521379,115
L,1521253,1521397,145
L,1524445,1524449,5
R,1524848,1524947,100
L,1524828,1524984,157
L,1529763,1530384,622
R,1529792,1530392,601
R,1532526,1532591,66
L,1532514,1532614,101
R,1533514,1534355,842
L,1533494,1534415,922
R,1536996,1537628,633
L,1536959,1537652,694
