eye,tStart,tEnd,duration,xStart,yStart,xEnd,yEnd,ampDeg,vPeak
R,712782,712807,26,1312.9,186.5,1446.4,201.5,2.8,185
R,713049,713067,19,1439.2,205.5,1507.2,208.5,1.4,104
L,713050,713068,19,1400.3,200.8,1463.1,195.8,1.3,89
L,713182,713201,20,1470.6,204.4,1546.9,195.3,1.6,130
R,713181,713201,21,1513.3,208.3,1596.2,205.0,1.7,143
L,713320,713390,71,1546.8,194.9,308.5,273.5,25.1,584
R,713321,713391,71,1581.6,204.0,330.9,261.2,25.4,570
L,713540,713558,19,340.8,276.2,276.2,281.4,1.3,120
R,713541,713560,20,348.8,258.7,291.1,267.5,1.2,117
R,713722,713840,119,307.7,279.2,362.2,247.1,1.3,638
L,713717,713864,148,292.3,287.7,355.0,237.2,1.6,655
L,714056,714079,24,348.6,272.7,460.3,270.5,2.3,170
R,714055,714079,25,359.3,246.1,497.9,253.7,2.9,214
L,714336,714353,18,467.0,275.1,407.4,274.3,1.2,99
R,714337,714353,17,488.8,252.3,430.5,254.8,1.2,96
R,714591,714620,30,434.8,260.3,640.4,266.2,4.3,266
L,714592,714621,30,413.2,276.6,597.1,284.6,3.8,228
R,714719,714843,125,640.7,277.6,691.3,268.2,1.1,526
L,714710,714876,167,620.0,297.2,662.0,220.6,1.9,753
R,715102,715131,30,680.3,268.8,822.3,290.9,3.0,166
L,715105,715132,28,657.3,274.5,791.8,291.2,2.9,157
L,715371,715399,29,799.6,298.0,954.8,285.4,3.3,184
R,715371,715399,29,827.0,285.3,1002.5,284.2,3.7,218
L,715696,715729,34,968.7,280.2,1149.1,279.5,3.8,155
R,715694,715731,38,1002.6,278.9,1205.8,286.8,4.3,171
R,715801,715958,158,1203.6,293.8,1306.0,245.0,2.4,826
L,715798,715966,169,1169.9,273.2,1239.0,223.6,1.8,402
R,715991,716015,25,1291.5,260.7,1406.3,259.4,2.4,178
L,715993,716017,25,1244.0,247.9,1357.8,251.2,2.4,168
L,716215,716241,27,1362.4,262.8,1499.4,244.8,2.9,144
R,716215,716241,27,1401.1,267.7,1552.5,255.8,3.1,168
R,716735,716876,142,1531.7,279.7,1587.2,217.2,1.7,759
L,716733,716885,153,1503.4,268.7,1550.1,188.1,1.9,396
L,717014,717086,73,1537.2,241.3,311.4,320.3,24.9,557
R,717016,717086,71,1573.4,252.7,356.6,301.2,24.7,566
L,717228,717247,20,346.7,320.3,275.1,335.4,1.5,126
R,717228,717248,21,369.0,291.4,293.0,314.9,1.6,132
L,717440,717448,9,281.6,335.8,262.2,340.8,0.4,49
R,717440,717448,9,297.0,316.7,274.7,317.4,0.5,51
L,717516,717547,32,263.5,346.8,524.2,354.6,5.3,305
R,717515,717547,33,280.8,322.3,559.7,336.9,5.7,346
R,717657,717793,137,551.3,355.6,640.7,317.6,2.0,863
L,717650,717815,166,545.4,372.0,606.1,292.1,2.1,559
L,717911,717937,27,609.8,347.3,765.1,353.7,3.3,214
R,717910,717937,28,634.2,328.9,806.1,340.3,3.6,236
L,718181,718205,25,782.4,364.6,895.8,354.6,2.4,154
R,718181,718207,27,807.7,341.3,943.5,343.3,2.9,188
R,718393,718409,17,952.3,343.3,1010.2,344.2,1.2,99
L,718394,718411,18,918.0,359.2,978.4,356.0,1.3,89
R,718630,718648,19,1012.9,346.6,1088.9,350.6,1.6,116
L,718629,718649,21,986.1,358.4,1059.3,355.9,1.6,112
R,718820,718851,32,1098.2,346.5,1289.2,344.1,4.0,198
L,718820,718852,33,1071.1,356.9,1244.6,346.7,3.7,161
L,719037,719059,23,1259.9,345.6,1362.0,340.9,2.1,150
R,719037,719060,24,1293.4,337.1,1405.0,337.2,2.3,161
R,719253,719279,27,1401.7,329.9,1534.2,330.7,2.7,170
L,719254,719280,27,1366.8,340.2,1496.3,333.9,2.7,153
L,719430,719496,67,1503.2,336.9,332.4,408.0,23.9,570
R,719432,719500,69,1526.0,329.8,360.6,401.3,23.8,558
L,719619,719642,24,360.8,419.7,275.2,432.5,1.8,160
R,719619,719642,24,364.0,396.7,279.8,416.1,1.8,147
L,719803,719831,29,279.2,428.4,453.1,430.5,3.5,216
R,719803,719831,29,288.3,412.1,482.4,409.1,4.0,255
R,719938,720089,152,488.4,425.2,599.9,405.1,2.4,747
L,719932,720112,181,475.1,439.4,585.0,374.2,2.7,704
L,720272,720291,20,583.4,425.9,505.7,418.6,1.6,122
R,720273,720293,21,595.2,408.4,516.5,409.3,1.6,123
L,720462,720483,22,507.7,424.2,409.3,424.3,2.0,163
R,720463,720483,21,513.4,409.0,416.9,407.5,2.0,152
L,720755,720772,18,413.6,419.9,478.2,419.8,1.3,122
R,720754,720773,20,413.3,402.8,487.2,405.9,1.5,126
R,720924,721074,151,479.1,418.9,427.4,387.0,1.2,704
L,720916,721099,184,484.5,420.5,415.3,359.8,1.9,610
R,721264,721270,7,422.3,410.0,404.3,406.6,0.4,51
L,721688,721703,16,413.3,418.2,462.4,417.1,1.0,90
R,721687,721703,17,406.1,409.9,463.7,409.8,1.2,103
L,722231,722258,28,453.7,422.6,620.4,431.7,3.5,205
R,722230,722258,29,455.5,411.1,647.3,421.1,4.0,250
L,722420,722439,20,640.1,430.6,716.0,423.9,1.6,119
R,722419,722440,22,646.0,419.8,738.0,415.7,1.9,149
L,722660,722688,29,728.5,429.4,891.4,424.1,3.5,198
R,722659,722688,30,741.0,409.0,925.9,412.8,3.9,226
R,722770,722918,149,923.2,424.5,1043.3,382.8,2.7,309
L,722765,722945,181,907.0,423.3,991.5,371.5,2.1,648
R,723097,723120,24,1032.2,407.7,1140.2,413.2,2.3,156
L,723098,723121,24,1000.7,414.6,1107.8,410.0,2.3,142
R,723347,723370,24,1148.4,403.4,1256.7,400.6,2.3,145
L,723348,723371,24,1125.4,413.9,1226.1,408.4,2.1,131
L,723561,723590,30,1239.5,414.1,1420.6,414.1,3.8,193
R,723560,723590,31,1262.1,401.6,1464.2,400.9,4.2,224
R,723870,723896,27,1468.4,398.5,1643.7,398.1,3.6,226
L,723872,723904,33,1438.8,414.2,1628.7,395.7,3.9,205
L,724040,724117,78,1625.7,396.9,249.2,505.5,27.6,628
R,724041,724118,78,1662.1,388.5,281.2,499.9,27.7,596
L,724323,724349,27,287.1,496.6,431.2,487.6,2.9,170
R,724323,724350,28,299.1,483.8,452.2,477.0,3.1,182
R,724431,724609,179,462.2,490.3,565.7,461.2,2.2,576
L,724427,724626,200,456.6,502.7,539.5,430.1,2.3,607
L,724817,724835,19,540.1,486.2,475.3,485.4,1.3,103
R,724818,724835,18,555.4,473.0,488.1,477.2,1.4,105
L,724960,724989,30,479.9,484.9,711.4,492.2,4.8,294
R,724958,724989,32,485.8,474.5,751.0,481.0,5.5,340
L,725178,725205,28,731.4,497.9,888.3,493.8,3.3,195
R,725177,725206,30,751.8,485.4,924.0,482.3,3.6,224
R,725388,725410,23,927.2,476.9,1035.5,477.5,2.3,160
L,725389,725412,24,901.5,492.3,1005.6,490.4,2.2,141
R,725684,725705,22,1047.5,476.5,1150.1,472.0,2.2,149
L,725685,725707,23,1022.9,487.3,1119.1,487.2,2.0,128
L,725897,725929,33,1142.2,488.5,1338.0,487.0,4.1,186
R,725896,725930,35,1163.9,470.4,1385.0,471.4,4.6,204
R,726047,726219,173,1394.0,476.0,1573.9,420.7,3.9,1039
L,726044,726221,178,1363.7,484.8,1544.0,416.0,4.0,386
L,726405,726418,14,1540.1,468.2,1578.6,468.8,0.8,68
R,726405,726419,15,1568.1,457.9,1614.8,461.2,0.9,82
L,726596,726616,21,1579.3,471.5,1669.0,466.5,1.8,129
